"Year","County","Index.Total","Violent.Total","Murder","Rape","Robbery","Aggravated.Assault","Property.Total","Burglary","Larceny","Motor.Vehicle.Theft","Region","Population"
2011,"Chenango",21.3562833691928,1.13554864929476,0,0.338672404175632,0.059765718383935,0.737110526735198,20.220734719898,4.54219459717906,15.3199458124153,0.35859431030361,"Non-New York City",50196
2012,"Chenango",20.5018237203896,1.16237123732414,0,0.340695017836386,0.200408834021404,0.621267385466351,19.3394524830655,3.66748166259169,15.1709487354203,0.501022085053509,"Non-New York City",49898
2013,"Chenango",18.7112287579058,0.969912505809372,0.0404130210753905,0.262684636990038,0.080826042150781,0.585988805593162,17.7413162520964,3.31386772818202,14.1849703974621,0.242478126452343,"Non-New York City",49489
2014,"Chenango",18.4235594560084,1.01339710979144,0.0608038265874866,0.162143537566631,0.101339710979144,0.689110034658181,17.410162346217,3.58742576866171,13.5997892134012,0.222947364154117,"Non-New York City",49339
2015,"Chenango",17.3996802885601,2.0699266303234,0,1.33213099971308,0.0204943230725089,0.717301307537812,15.3297536582367,2.88969955322376,11.9481903512727,0.491863753740214,"Non-New York City",48794
2016,"Chenango",19.9896533885153,2.04862907397827,0,1.05535437144335,0.144852560786342,0.848422141748577,17.941024314537,3.55923435075013,14.1748577340921,0.206932229694775,"Non-New York City",48325
2017,"Chenango",14.9450273817984,1.73487730446052,0.0627064085949584,0.961498265122696,0.0627064085949584,0.647966222147904,13.2101500773379,2.59186488859161,10.3883616905648,0.229923498181514,"Non-New York City",47842
2018,"Chenango",15.0098943202391,1.83150183150183,0.0210517451896762,1.09469074986316,0.0842069807587049,0.631552355690287,13.1783924887373,2.29464022567471,10.5679760852175,0.315776177845143,"Non-New York City",47502
2019,"Chenango",16.5982131515434,2.35000211711902,0,1.27027141465893,0.0423423804886311,1.03738832197146,14.2482110344244,3.19684972689165,10.670279883135,0.38108142439768,"Non-New York City",47234
2020,"Chenango",16.6257200948831,2.39325652321247,0.021179261267367,1.10132158590308,0.148254828871569,1.12250084717045,14.2324635716706,3.09217214503558,10.6108098949509,0.529481531684175,"Non-New York City",47216
2021,"Chenango",16.596264768317,2.14422025430452,0,1.30797435512576,0.0857688101721809,0.750477089006583,14.4520445140125,2.72315972296674,11.1070609172974,0.621823873748311,"Non-New York City",46637
2022,"Chenango",17.0046063110767,1.95875844849111,0,0.947091997072625,0.0645744543458608,0.947091997072625,15.0458478625856,2.88432562744845,11.8601747815231,0.301347453614017,"Non-New York City",46458
1990,"Clinton",25.834893973409,2.81496818620666,0,0.12795309937303,0.116320999430027,2.5706940874036,23.0199257872024,6.15338086984843,16.4012609196338,0.465283997720108,"Non-New York City",85969
1991,"Clinton",29.2265873661222,3.12478219454964,0.0116162906860581,0.197476941662988,0.0696977441163488,2.84599121808424,26.1018051715726,6.09855261018052,19.5153683525777,0.487884208814441,"Non-New York City",86086
1992,"Clinton",24.1832739173631,2.4545613932558,0.0233767751738648,0.128572263456256,0.0584419379346619,2.24417041669102,21.7287125241073,5.18964408859798,16.3286774589445,0.210390976564783,"Non-New York City",85555
1993,"Clinton",22.0087942605878,2.09442258736404,0.0347141865308956,0.185142328164777,0.0231427910205971,1.85142328164777,19.9143716732238,3.9458458690118,15.4709557972692,0.497570006942837,"Non-New York City",86420
1994,"Clinton",22.338161121651,2.591272962843,0.0115681828698348,0.161954560177687,0.057840914349174,2.3599093054463,19.746888158808,4.73138679376244,14.6568876960807,0.358613668964879,"Non-New York City",86444
1995,"Clinton",22.5896712256073,3.49759992281159,0.0723641363340329,0.120606893890055,0.0964855151120438,3.20814337747546,19.0920713027957,3.87148129387076,14.8828907060328,0.337699302892153,"Non-New York City",82914
